time,prob_on
2025-02-06 00:00:00,1.6245757899394045e-07
2025-02-06 00:15:00,1.5471592909153774e-07
2025-02-06 00:30:00,1.4714820851310858e-07
2025-02-06 00:45:00,1.397954674433419e-07
2025-02-06 01:00:00,1.326919856690581e-07
2025-02-06 01:15:00,1.2586551889104983e-07
2025-02-06 01:30:00,1.1933766790140454e-07
2025-02-06 01:45:00,1.1312434148889722e-07
2025-02-06 02:00:00,1.0723628521736787e-07
2025-02-06 02:15:00,1.016796505105762e-07
2025-02-06 02:30:00,9.645658146686993e-08
2025-02-06 02:45:00,9.156580023207724e-08
2025-02-06 03:00:00,8.700317532733046e-08
2025-02-06 03:15:00,8.276226085149284e-08
2025-02-06 03:30:00,7.883479779429514e-08
2025-02-06 03:45:00,7.521117169187543e-08
2025-02-06 04:00:00,7.188082346009533e-08
2025-02-06 04:15:00,6.883261241900012e-08
2025-02-06 04:30:00,6.605513227065812e-08
2025-02-06 04:45:00,6.3536982131863e-08
2025-02-06 05:00:00,6.12669956882942e-08
2025-02-06 05:15:00,5.923443217298761e-08
2025-02-06 05:30:00,5.7429133229116374e-08
2025-02-06 05:45:00,5.58416498453727e-08
2025-02-06 06:00:00,5.4463343499312836e-08
2025-02-06 06:15:00,5.3286465452887133e-08
2025-02-06 06:30:00,5.230421785228004e-08
2025-02-06 06:45:00,5.1510799921976506e-08
2025-02-06 07:00:00,5.0901442135270324e-08
2025-02-06 07:15:00,5.0472430808808086e-08
2025-02-06 07:30:00,5.022112512050245e-08
2025-02-06 07:45:00,5.0145968096911754e-08
2025-02-06 08:00:00,5.024649266288319e-08
2025-02-06 08:15:00,5.052332339489538e-08
2025-02-06 08:30:00,5.09781741700913e-08
2025-02-06 08:45:00,5.1613841454225237e-08
2025-02-06 09:00:00,5.243419252208121e-08
2025-02-06 09:15:00,5.34441474522443e-08
2025-02-06 09:30:00,5.4649653284631024e-08
2025-02-06 09:45:00,5.605764827628742e-08
2025-02-06 10:00:00,5.7676013744031326e-08
2025-02-06 10:15:00,5.95135105508501e-08
2025-02-06 10:30:00,6.157969689053456e-08
2025-02-06 10:45:00,6.388482367128948e-08
2025-02-06 11:00:00,6.643970351946687e-08
2025-02-06 11:15:00,6.925554925093207e-08
2025-02-06 11:30:00,7.234377762802194e-08
2025-02-06 11:45:00,7.571577437833662e-08
2025-02-06 12:00:00,7.938261684591735e-08
2025-02-06 12:15:00,8.335475132605167e-08
2025-02-06 12:30:00,8.764162315143753e-08
2025-02-06 12:45:00,9.225125899391364e-08
2025-02-06 13:00:00,9.718980265601607e-08
2025-02-06 13:15:00,1.0246100786690376e-07
2025-02-06 13:30:00,1.0806569426032365e-07
2025-02-06 13:45:00,1.1400117575952588e-07
2025-02-06 14:00:00,1.2026067394842462e-07
2025-02-06 14:15:00,1.268327325488743e-07
2025-02-06 14:30:00,1.337006526826575e-07
2025-02-06 14:45:00,1.4084197195840127e-07
2025-02-06 15:00:00,1.482280133305891e-07
2025-02-06 15:15:00,1.5582353184021894e-07
2025-02-06 15:30:00,1.6358648845840819e-07
2025-02-06 15:45:00,1.7146798001525783e-07
2025-02-06 16:00:00,1.7941235233959314e-07
2025-02-06 16:15:00,1.873575200578944e-07
2025-02-06 16:30:00,1.952355108958107e-07
2025-02-06 16:45:00,2.0297324481156901e-07
2025-02-06 17:00:00,2.1049354903480602e-07
2025-02-06 17:15:00,2.1771639941666684e-07
2025-02-06 17:30:00,2.2456036690929953e-07
2025-02-06 17:45:00,2.3094423612246412e-07
2025-02-06 18:00:00,2.3678875150077463e-07
2025-02-06 18:15:00,2.4201843653706096e-07
2025-02-06 18:30:00,2.465634233929279e-07
2025-02-06 18:45:00,2.503612250700097e-07
2025-02-06 19:00:00,2.5335838045092216e-07
2025-02-06 19:15:00,2.555119044814856e-07
2025-02-06 19:30:00,2.567904816066286e-07
2025-02-06 19:45:00,2.571753501219306e-07
2025-02-06 20:00:00,2.566608378895222e-07
2025-02-06 20:15:00,2.552545251552961e-07
2025-02-06 20:30:00,2.529770270490214e-07
2025-02-06 20:45:00,2.4986140567267244e-07
2025-02-06 21:00:00,2.459522383666451e-07
2025-02-06 21:15:00,2.4130438372494664e-07
2025-02-06 21:30:00,2.3598149928967207e-07
2025-02-06 21:45:00,2.3005437389180127e-07
2025-02-06 22:00:00,2.2359914288910793e-07
2025-02-06 22:15:00,2.1669545594595685e-07
2025-02-06 22:30:00,2.094246646553968e-07
2025-02-06 22:45:00,2.018680916294237e-07
2025-02-06 23:00:00,1.9410543429032548e-07
2025-02-06 23:15:00,1.8621334623315827e-07
2025-02-06 23:30:00,1.7826422750867827e-07
2025-02-06 23:45:00,1.703252433023526e-07
